location,week_start,new_cases,new_deaths,new_tests,new_vaccinations,new_cases_per_million_calc,new_deaths_per_million_calc,new_cases_7d_avg,new_deaths_7d_avg,new_cases_per_million_7d_avg,new_deaths_per_million_7d_avg,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed,new_deaths_smoothed_per_million,hosp_patients,hosp_patients_per_million,icu_patients,icu_patients_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,reproduction_rate,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,iso_code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index,location_type,pandemic_period,year,quarter,month,iso_week
Europe,2020-03-23,201251.0,18731.0,,,38.419877966489416,3.5758467495332362,20998.795918367345,1618.3265306122448,28.061466707684566,2.162629525877549,20998.795714285716,28.076816714285712,1618.3265428571428,2.163812442857143,,,,,,,,,,,,,,,379351.0,29101.0,507.21805,38.910015,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,3,13
Europe,2020-03-30,199737.0,26839.0,,,38.13084737662272,5.123706738066441,29791.877551020407,3180.3673469387754,39.811986520909706,4.250042372489917,29791.877714285714,39.83376342857143,3180.3673285714285,4.252367028571428,,,,,,,,,,,,,,,579088.0,55940.0,774.27997,74.79558,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,1,3,14
Europe,2020-04-06,186368.0,28694.0,,,35.57863472409429,5.477836027500223,28800.979591836738,4113.734693877551,38.48781297303386,5.4973356379696225,28800.979428571427,38.50886514285714,4113.7347,5.500342671428571,,,,,,,,,,,,,,,765456.0,84634.0,1023.4667,113.16141,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,4,15
Europe,2020-04-13,173182.0,25749.0,,,33.06135773731594,4.9156199857845975,26633.04081632653,4065.755102040817,35.59071630093057,5.433218736971639,26633.040857142856,35.61018414285714,4065.7550428571426,5.436190671428571,,,,,,,,,,,,,,,938638.0,110383.0,1255.0227,147.58957,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,4,16
Europe,2020-04-20,162982.0,20668.0,,,31.11412390862345,3.9456302717074863,25108.85714285714,3430.673469387755,33.55389335280874,4.584535690541925,25108.85714285714,33.57224742857143,3430.6734714285712,4.587043457142857,,,,,,,,,,,,,,,1101620.0,131051.0,1472.9408,175.22409,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,4,17
Europe,2020-04-27,150879.0,15101.0,,,28.80359733718569,2.882860592851497,23034.4693877551,2624.8163265306125,30.781812365169422,3.5076390211640494,23034.46942857143,30.798650000000002,2624.816342857143,3.5095577142857146,,,,,,,,,,,,,,,1252499.0,146152.0,1674.6763,195.41515,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,4,18
Europe,2020-05-04,153331.0,11618.0,,,29.271697077181177,2.2179375119362095,22366.61224489796,1938.2857142857142,29.88933019368536,2.5902028027156554,22366.612285714284,29.90567942857143,1938.2856857142856,2.591619628571429,,,,,,,,,,,,,,,1405830.0,157770.0,1879.6902,210.9492,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,5,19
Europe,2020-05-11,137425.0,8712.0,,,26.23515773608483,1.6631667760361728,20978.285714285714,1482.2040816326532,28.03405816429751,1.9807240687714016,20978.285714285714,28.04939257142857,1482.2040857142856,1.9818075428571427,,,,,,,,,,,,,,,1543255.0,166482.0,2063.4368,222.59773,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,5,20
Europe,2020-05-18,122826.0,6886.0,,,23.44813159244938,1.3145737396447525,18254.326530612245,1123.4897959183675,24.39393088067144,1.5013609174138682,18254.32642857143,24.407274142857144,1123.4898142857144,1.5021821714285715,,,,,,,,,,,,,,,1666081.0,173368.0,2227.6633,231.8048,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,5,21
Europe,2020-05-25,112153.0,5658.0,,,21.410599567583205,1.080142059092363,16734.95918367347,888.5510204081633,22.36354416761364,1.187403552765298,16734.959142857144,22.375776714285713,888.5510285714287,1.1880530999999999,,,,,,,,,,,,,,,1778234.0,179026.0,2377.6196,239.36992,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,5,22
Europe,2020-06-01,108001.0,4605.0,,,20.617960856138968,0.8791188020714618,15723.795918367347,751.469387755102,21.012289342540434,1.0042163030828406,15723.796,21.023783142857145,751.4693857142857,1.0047655771428572,,,,,,,,,,,,,,,1886235.0,183631.0,2522.0242,245.52711,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,OWID_EUR,,748314268.0,33.80024719238281,41.92599868774414,78.18270111083984,,,,,,,regional_reference,2020-2022,2020,2,6,23
