location,week_start,iso_code,country_reference,location_type,year,quarter,month,iso_week,pandemic_period,ukhsa_covid_deaths_weekly,ukhsa_hospital_admissions_weekly_sum,ukhsa_occupied_beds_weekly_avg,ukhsa_pcr_tests_weekly_sum,ukhsa_pcr_positivity_weekly_avg
England,2023-07-24,ENG,United Kingdom,england_detail,2023,3,7,30,2023-2026,55.0,1560.0,1377.142857142857,139388.0,7.482857142857143
England,2023-07-31,ENG,United Kingdom,england_detail,2023,3,7,31,2023-2026,65.0,1850.0,1775.857142857143,141074.0,9.635714285714286
England,2023-08-07,ENG,United Kingdom,england_detail,2023,3,8,32,2023-2026,101.0,2249.0,2156.5714285714284,143395.0,11.162857142857144
England,2023-08-14,ENG,United Kingdom,england_detail,2023,3,8,33,2023-2026,115.0,2202.0,2469.8571428571427,142015.0,12.642857142857142
England,2023-08-21,ENG,United Kingdom,england_detail,2023,3,8,34,2023-2026,178.0,2251.0,2528.4285714285716,145486.0,12.917142857142858
England,2023-08-28,ENG,United Kingdom,england_detail,2023,3,8,35,2023-2026,136.0,2894.0,2716.8571428571427,140992.0,14.414285714285713
England,2023-09-04,ENG,United Kingdom,england_detail,2023,3,9,36,2023-2026,197.0,3228.0,3178.4285714285716,159839.0,16.242857142857144
England,2023-09-11,ENG,United Kingdom,england_detail,2023,3,9,37,2023-2026,229.0,2737.0,3147.0,163791.0,15.101428571428572
England,2023-09-18,ENG,United Kingdom,england_detail,2023,3,9,38,2023-2026,241.0,3178.0,3061.285714285714,167604.0,14.858571428571429
England,2023-09-25,ENG,United Kingdom,england_detail,2023,3,9,39,2023-2026,203.0,4036.0,3540.1428571428573,185609.0,16.898571428571426
England,2023-10-02,ENG,United Kingdom,england_detail,2023,4,10,40,2023-2026,233.0,4332.0,4214.857142857143,199526.0,17.464285714285715
England,2023-10-09,ENG,United Kingdom,england_detail,2023,4,10,41,2023-2026,318.0,3721.0,4414.285714285715,210629.0,15.904285714285715
England,2023-10-16,ENG,United Kingdom,england_detail,2023,4,10,42,2023-2026,287.0,3351.0,3942.714285714286,208864.0,13.225714285714286
England,2023-10-23,ENG,United Kingdom,england_detail,2023,4,10,43,2023-2026,297.0,2866.0,3715.285714285714,207249.0,12.42
