location,date,variant,variant_percent,iso_code,country_reference,location_type,year,quarter,month,iso_week,week_start,pandemic_period
England,2021-03-22,Other,1.92,ENG,United Kingdom,england_detail,2021,1,3,12,2021-03-22,2020-2022
England,2021-03-29,Alpha,97.35,ENG,United Kingdom,england_detail,2021,1,3,13,2021-03-29,2020-2022
England,2021-03-29,Delta,0.28,ENG,United Kingdom,england_detail,2021,1,3,13,2021-03-29,2020-2022
England,2021-03-29,Other,2.37,ENG,United Kingdom,england_detail,2021,1,3,13,2021-03-29,2020-2022
England,2021-04-05,Alpha,95.35,ENG,United Kingdom,england_detail,2021,2,4,14,2021-04-05,2020-2022
England,2021-04-05,Delta,1.46,ENG,United Kingdom,england_detail,2021,2,4,14,2021-04-05,2020-2022
England,2021-04-05,Other,3.18,ENG,United Kingdom,england_detail,2021,2,4,14,2021-04-05,2020-2022
England,2021-04-12,Alpha,92.86,ENG,United Kingdom,england_detail,2021,2,4,15,2021-04-12,2020-2022
England,2021-04-12,Delta,3.23,ENG,United Kingdom,england_detail,2021,2,4,15,2021-04-12,2020-2022
England,2021-04-12,Omicron BA.1,0.02,ENG,United Kingdom,england_detail,2021,2,4,15,2021-04-12,2020-2022
England,2021-04-12,Other,3.9,ENG,United Kingdom,england_detail,2021,2,4,15,2021-04-12,2020-2022
England,2021-04-19,Alpha,88.22,ENG,United Kingdom,england_detail,2021,2,4,16,2021-04-19,2020-2022
England,2021-04-19,Delta,7.63,ENG,United Kingdom,england_detail,2021,2,4,16,2021-04-19,2020-2022
England,2021-04-19,Other,4.14,ENG,United Kingdom,england_detail,2021,2,4,16,2021-04-19,2020-2022
England,2021-04-26,Alpha,82.1,ENG,United Kingdom,england_detail,2021,2,4,17,2021-04-26,2020-2022
England,2021-04-26,Delta,14.3,ENG,United Kingdom,england_detail,2021,2,4,17,2021-04-26,2020-2022
England,2021-04-26,Omicron BA.1,0.03,ENG,United Kingdom,england_detail,2021,2,4,17,2021-04-26,2020-2022
England,2021-04-26,Other,3.57,ENG,United Kingdom,england_detail,2021,2,4,17,2021-04-26,2020-2022
England,2021-05-03,Alpha,69.34,ENG,United Kingdom,england_detail,2021,2,5,18,2021-05-03,2020-2022
England,2021-05-03,Delta,27.57,ENG,United Kingdom,england_detail,2021,2,5,18,2021-05-03,2020-2022
England,2021-05-03,Other,3.1,ENG,United Kingdom,england_detail,2021,2,5,18,2021-05-03,2020-2022
England,2021-05-10,Alpha,52.83,ENG,United Kingdom,england_detail,2021,2,5,19,2021-05-10,2020-2022
England,2021-05-10,Delta,44.83,ENG,United Kingdom,england_detail,2021,2,5,19,2021-05-10,2020-2022
England,2021-05-10,Other,2.34,ENG,United Kingdom,england_detail,2021,2,5,19,2021-05-10,2020-2022
England,2021-05-17,Alpha,32.85,ENG,United Kingdom,england_detail,2021,2,5,20,2021-05-17,2020-2022
England,2021-05-17,Delta,65.63,ENG,United Kingdom,england_detail,2021,2,5,20,2021-05-17,2020-2022
England,2021-05-17,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,2,5,20,2021-05-17,2020-2022
England,2021-05-17,Other,1.51,ENG,United Kingdom,england_detail,2021,2,5,20,2021-05-17,2020-2022
England,2021-05-24,Alpha,16.99,ENG,United Kingdom,england_detail,2021,2,5,21,2021-05-24,2020-2022
England,2021-05-24,Delta,82.11,ENG,United Kingdom,england_detail,2021,2,5,21,2021-05-24,2020-2022
England,2021-05-24,Other,0.9,ENG,United Kingdom,england_detail,2021,2,5,21,2021-05-24,2020-2022
England,2021-05-31,Alpha,8.48,ENG,United Kingdom,england_detail,2021,2,5,22,2021-05-31,2020-2022
England,2021-05-31,Delta,91.1,ENG,United Kingdom,england_detail,2021,2,5,22,2021-05-31,2020-2022
England,2021-05-31,Other,0.4,ENG,United Kingdom,england_detail,2021,2,5,22,2021-05-31,2020-2022
England,2021-06-07,Alpha,4.22,ENG,United Kingdom,england_detail,2021,2,6,23,2021-06-07,2020-2022
England,2021-06-07,Delta,95.44,ENG,United Kingdom,england_detail,2021,2,6,23,2021-06-07,2020-2022
England,2021-06-07,Other,0.34,ENG,United Kingdom,england_detail,2021,2,6,23,2021-06-07,2020-2022
England,2021-06-14,Alpha,1.46,ENG,United Kingdom,england_detail,2021,2,6,24,2021-06-14,2020-2022
England,2021-06-14,Delta,98.36,ENG,United Kingdom,england_detail,2021,2,6,24,2021-06-14,2020-2022
England,2021-06-14,Other,0.19,ENG,United Kingdom,england_detail,2021,2,6,24,2021-06-14,2020-2022
England,2021-06-21,Alpha,0.94,ENG,United Kingdom,england_detail,2021,2,6,25,2021-06-21,2020-2022
England,2021-06-21,Delta,98.83,ENG,United Kingdom,england_detail,2021,2,6,25,2021-06-21,2020-2022
England,2021-06-21,Other,0.22,ENG,United Kingdom,england_detail,2021,2,6,25,2021-06-21,2020-2022
England,2021-06-28,Alpha,0.52,ENG,United Kingdom,england_detail,2021,2,6,26,2021-06-28,2020-2022
England,2021-06-28,Delta,99.32,ENG,United Kingdom,england_detail,2021,2,6,26,2021-06-28,2020-2022
England,2021-06-28,Other,0.16,ENG,United Kingdom,england_detail,2021,2,6,26,2021-06-28,2020-2022
England,2021-07-05,Alpha,0.21,ENG,United Kingdom,england_detail,2021,3,7,27,2021-07-05,2020-2022
England,2021-07-05,Delta,99.55,ENG,United Kingdom,england_detail,2021,3,7,27,2021-07-05,2020-2022
England,2021-07-05,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,3,7,27,2021-07-05,2020-2022
England,2021-07-05,Omicron BA.5,0.0,ENG,United Kingdom,england_detail,2021,3,7,27,2021-07-05,2020-2022
England,2021-07-05,Other,0.23,ENG,United Kingdom,england_detail,2021,3,7,27,2021-07-05,2020-2022
England,2021-07-12,Alpha,0.08,ENG,United Kingdom,england_detail,2021,3,7,28,2021-07-12,2020-2022
England,2021-07-12,Delta,99.65,ENG,United Kingdom,england_detail,2021,3,7,28,2021-07-12,2020-2022
England,2021-07-12,Other,0.27,ENG,United Kingdom,england_detail,2021,3,7,28,2021-07-12,2020-2022
England,2021-07-19,Alpha,0.07,ENG,United Kingdom,england_detail,2021,3,7,29,2021-07-19,2020-2022
England,2021-07-19,Delta,99.66,ENG,United Kingdom,england_detail,2021,3,7,29,2021-07-19,2020-2022
England,2021-07-19,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,3,7,29,2021-07-19,2020-2022
England,2021-07-19,Omicron BA.2,0.0,ENG,United Kingdom,england_detail,2021,3,7,29,2021-07-19,2020-2022
England,2021-07-19,Other,0.26,ENG,United Kingdom,england_detail,2021,3,7,29,2021-07-19,2020-2022
England,2021-07-26,Alpha,0.04,ENG,United Kingdom,england_detail,2021,3,7,30,2021-07-26,2020-2022
England,2021-07-26,Delta,99.8,ENG,United Kingdom,england_detail,2021,3,7,30,2021-07-26,2020-2022
England,2021-07-26,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,3,7,30,2021-07-26,2020-2022
England,2021-07-26,Other,0.16,ENG,United Kingdom,england_detail,2021,3,7,30,2021-07-26,2020-2022
England,2021-08-02,Alpha,0.03,ENG,United Kingdom,england_detail,2021,3,8,31,2021-08-02,2020-2022
England,2021-08-02,Delta,99.58,ENG,United Kingdom,england_detail,2021,3,8,31,2021-08-02,2020-2022
England,2021-08-02,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,3,8,31,2021-08-02,2020-2022
England,2021-08-02,Other,0.37,ENG,United Kingdom,england_detail,2021,3,8,31,2021-08-02,2020-2022
England,2021-08-09,Alpha,0.01,ENG,United Kingdom,england_detail,2021,3,8,32,2021-08-09,2020-2022
England,2021-08-09,Delta,98.44,ENG,United Kingdom,england_detail,2021,3,8,32,2021-08-09,2020-2022
England,2021-08-09,Omicron BA.1,0.02,ENG,United Kingdom,england_detail,2021,3,8,32,2021-08-09,2020-2022
England,2021-08-09,Other,1.52,ENG,United Kingdom,england_detail,2021,3,8,32,2021-08-09,2020-2022
England,2021-08-16,Alpha,0.01,ENG,United Kingdom,england_detail,2021,3,8,33,2021-08-16,2020-2022
England,2021-08-16,Delta,99.79,ENG,United Kingdom,england_detail,2021,3,8,33,2021-08-16,2020-2022
England,2021-08-16,Omicron BA.1,0.01,ENG,United Kingdom,england_detail,2021,3,8,33,2021-08-16,2020-2022
England,2021-08-16,Omicron BA.5,0.0,ENG,United Kingdom,england_detail,2021,3,8,33,2021-08-16,2020-2022
England,2021-08-16,Other,0.18,ENG,United Kingdom,england_detail,2021,3,8,33,2021-08-16,2020-2022
England,2021-08-23,Alpha,0.02,ENG,United Kingdom,england_detail,2021,3,8,34,2021-08-23,2020-2022
England,2021-08-23,Delta,99.88,ENG,United Kingdom,england_detail,2021,3,8,34,2021-08-23,2020-2022
England,2021-08-23,Omicron BA.1,0.02,ENG,United Kingdom,england_detail,2021,3,8,34,2021-08-23,2020-2022
England,2021-08-23,Other,0.09,ENG,United Kingdom,england_detail,2021,3,8,34,2021-08-23,2020-2022
England,2021-08-30,Alpha,0.0,ENG,United Kingdom,england_detail,2021,3,8,35,2021-08-30,2020-2022
England,2021-08-30,Delta,99.84,ENG,United Kingdom,england_detail,2021,3,8,35,2021-08-30,2020-2022
England,2021-08-30,Omicron BA.1,0.03,ENG,United Kingdom,england_detail,2021,3,8,35,2021-08-30,2020-2022
England,2021-08-30,Omicron BA.2,0.0,ENG,United Kingdom,england_detail,2021,3,8,35,2021-08-30,2020-2022
England,2021-08-30,Other,0.12,ENG,United Kingdom,england_detail,2021,3,8,35,2021-08-30,2020-2022
England,2021-09-06,Alpha,0.01,ENG,United Kingdom,england_detail,2021,3,9,36,2021-09-06,2020-2022
England,2021-09-06,Delta,99.83,ENG,United Kingdom,england_detail,2021,3,9,36,2021-09-06,2020-2022
England,2021-09-06,Omicron BA.1,0.04,ENG,United Kingdom,england_detail,2021,3,9,36,2021-09-06,2020-2022
England,2021-09-06,Omicron BA.2,0.0,ENG,United Kingdom,england_detail,2021,3,9,36,2021-09-06,2020-2022
England,2021-09-06,Other,0.12,ENG,United Kingdom,england_detail,2021,3,9,36,2021-09-06,2020-2022
England,2021-09-13,Alpha,0.02,ENG,United Kingdom,england_detail,2021,3,9,37,2021-09-13,2020-2022
England,2021-09-13,Delta,99.78,ENG,United Kingdom,england_detail,2021,3,9,37,2021-09-13,2020-2022
England,2021-09-13,Omicron BA.1,0.11,ENG,United Kingdom,england_detail,2021,3,9,37,2021-09-13,2020-2022
England,2021-09-13,Omicron BA.2,0.0,ENG,United Kingdom,england_detail,2021,3,9,37,2021-09-13,2020-2022
England,2021-09-13,Other,0.09,ENG,United Kingdom,england_detail,2021,3,9,37,2021-09-13,2020-2022
England,2021-09-20,Alpha,0.01,ENG,United Kingdom,england_detail,2021,3,9,38,2021-09-20,2020-2022
England,2021-09-20,Delta,99.76,ENG,United Kingdom,england_detail,2021,3,9,38,2021-09-20,2020-2022
England,2021-09-20,Omicron BA.1,0.19,ENG,United Kingdom,england_detail,2021,3,9,38,2021-09-20,2020-2022
England,2021-09-20,Omicron BA.2,0.0,ENG,United Kingdom,england_detail,2021,3,9,38,2021-09-20,2020-2022
England,2021-09-20,Other,0.03,ENG,United Kingdom,england_detail,2021,3,9,38,2021-09-20,2020-2022
England,2021-09-27,Delta,99.55,ENG,United Kingdom,england_detail,2021,3,9,39,2021-09-27,2020-2022
England,2021-09-27,Omicron BA.1,0.34,ENG,United Kingdom,england_detail,2021,3,9,39,2021-09-27,2020-2022
England,2021-09-27,Omicron BA.2,0.02,ENG,United Kingdom,england_detail,2021,3,9,39,2021-09-27,2020-2022
England,2021-09-27,Other,0.09,ENG,United Kingdom,england_detail,2021,3,9,39,2021-09-27,2020-2022
England,2021-10-04,Alpha,0.01,ENG,United Kingdom,england_detail,2021,4,10,40,2021-10-04,2020-2022
England,2021-10-04,Delta,99.28,ENG,United Kingdom,england_detail,2021,4,10,40,2021-10-04,2020-2022
England,2021-10-04,Omicron BA.1,0.57,ENG,United Kingdom,england_detail,2021,4,10,40,2021-10-04,2020-2022
England,2021-10-04,Omicron BA.2,0.02,ENG,United Kingdom,england_detail,2021,4,10,40,2021-10-04,2020-2022
England,2021-10-04,Other,0.12,ENG,United Kingdom,england_detail,2021,4,10,40,2021-10-04,2020-2022
England,2021-10-11,Alpha,0.01,ENG,United Kingdom,england_detail,2021,4,10,41,2021-10-11,2020-2022
England,2021-10-11,Delta,98.71,ENG,United Kingdom,england_detail,2021,4,10,41,2021-10-11,2020-2022
England,2021-10-11,Omicron BA.1,1.12,ENG,United Kingdom,england_detail,2021,4,10,41,2021-10-11,2020-2022
England,2021-10-11,Omicron BA.2,0.03,ENG,United Kingdom,england_detail,2021,4,10,41,2021-10-11,2020-2022
England,2021-10-11,Other,0.13,ENG,United Kingdom,england_detail,2021,4,10,41,2021-10-11,2020-2022
England,2021-10-18,Alpha,0.01,ENG,United Kingdom,england_detail,2021,4,10,42,2021-10-18,2020-2022
England,2021-10-18,Delta,98.64,ENG,United Kingdom,england_detail,2021,4,10,42,2021-10-18,2020-2022
England,2021-10-18,Omicron BA.1,1.22,ENG,United Kingdom,england_detail,2021,4,10,42,2021-10-18,2020-2022
England,2021-10-18,Omicron BA.2,0.03,ENG,United Kingdom,england_detail,2021,4,10,42,2021-10-18,2020-2022
England,2021-10-18,Other,0.1,ENG,United Kingdom,england_detail,2021,4,10,42,2021-10-18,2020-2022
England,2021-10-25,Alpha,0.0,ENG,United Kingdom,england_detail,2021,4,10,43,2021-10-25,2020-2022
England,2021-10-25,Delta,98.68,ENG,United Kingdom,england_detail,2021,4,10,43,2021-10-25,2020-2022
England,2021-10-25,Omicron BA.1,1.17,ENG,United Kingdom,england_detail,2021,4,10,43,2021-10-25,2020-2022
England,2021-10-25,Omicron BA.2,0.05,ENG,United Kingdom,england_detail,2021,4,10,43,2021-10-25,2020-2022
England,2021-10-25,Other,0.09,ENG,United Kingdom,england_detail,2021,4,10,43,2021-10-25,2020-2022
England,2021-11-01,Delta,98.67,ENG,United Kingdom,england_detail,2021,4,11,44,2021-11-01,2020-2022
England,2021-11-01,Omicron BA.1,1.21,ENG,United Kingdom,england_detail,2021,4,11,44,2021-11-01,2020-2022
England,2021-11-01,Omicron BA.2,0.08,ENG,United Kingdom,england_detail,2021,4,11,44,2021-11-01,2020-2022
England,2021-11-01,Other,0.05,ENG,United Kingdom,england_detail,2021,4,11,44,2021-11-01,2020-2022
England,2021-11-08,Delta,98.47,ENG,United Kingdom,england_detail,2021,4,11,45,2021-11-08,2020-2022
England,2021-11-08,Omicron BA.1,1.28,ENG,United Kingdom,england_detail,2021,4,11,45,2021-11-08,2020-2022
England,2021-11-08,Omicron BA.2,0.17,ENG,United Kingdom,england_detail,2021,4,11,45,2021-11-08,2020-2022
