location,iso_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,year,quarter,month,iso_week,week_start,pandemic_period,location_type,mobility_restriction_index
Poland,PL,2020-02-26,-2.0,-2.0,3.0,3.0,8.0,0.0,2020,1,2,9,2020-02-24,2020-2022,comparison_country,3.0
Poland,PL,2020-02-27,3.0,4.0,4.0,5.0,8.0,0.0,2020,1,2,9,2020-02-24,2020-2022,comparison_country,5.333333333333333
Poland,PL,2020-02-28,3.0,5.0,-1.0,5.0,9.0,-1.0,2020,1,2,9,2020-02-24,2020-2022,comparison_country,5.666666666666667
Poland,PL,2020-02-29,4.0,3.0,8.0,1.0,4.0,1.0,2020,1,2,9,2020-02-24,2020-2022,comparison_country,3.0
Poland,PL,2020-03-01,7.0,-7.0,30.0,10.0,2.0,1.0,2020,1,3,9,2020-02-24,2020-2022,comparison_country,6.333333333333333
Poland,PL,2020-03-02,2.0,3.0,-6.0,3.0,10.0,-1.0,2020,1,3,10,2020-03-02,2020-2022,comparison_country,5.0
Poland,PL,2020-03-03,1.0,1.0,0.0,2.0,9.0,0.0,2020,1,3,10,2020-03-02,2020-2022,comparison_country,4.0
Poland,PL,2020-03-04,4.0,5.0,5.0,4.0,9.0,0.0,2020,1,3,10,2020-03-02,2020-2022,comparison_country,5.666666666666667
Poland,PL,2020-03-05,5.0,5.0,22.0,7.0,9.0,-1.0,2020,1,3,10,2020-03-02,2020-2022,comparison_country,7.0
Poland,PL,2020-03-06,4.0,4.0,-2.0,3.0,9.0,-1.0,2020,1,3,10,2020-03-02,2020-2022,comparison_country,5.333333333333333
Poland,PL,2020-03-07,7.0,7.0,3.0,0.0,4.0,0.0,2020,1,3,10,2020-03-02,2020-2022,comparison_country,3.6666666666666665
Poland,PL,2020-03-08,24.0,3.0,36.0,13.0,5.0,0.0,2020,1,3,10,2020-03-02,2020-2022,comparison_country,14.0
Poland,PL,2020-03-09,4.0,3.0,8.0,3.0,9.0,-1.0,2020,1,3,11,2020-03-09,2020-2022,comparison_country,5.333333333333333
Poland,PL,2020-03-10,4.0,10.0,15.0,3.0,9.0,0.0,2020,1,3,11,2020-03-09,2020-2022,comparison_country,5.333333333333333
Poland,PL,2020-03-11,3.0,30.0,4.0,-2.0,5.0,0.0,2020,1,3,11,2020-03-09,2020-2022,comparison_country,2.0
Poland,PL,2020-03-12,-14.0,21.0,-13.0,-21.0,-12.0,6.0,2020,1,3,11,2020-03-09,2020-2022,comparison_country,-15.666666666666666
Poland,PL,2020-03-13,-28.0,6.0,-29.0,-34.0,-17.0,10.0,2020,1,3,11,2020-03-09,2020-2022,comparison_country,-26.333333333333332
Poland,PL,2020-03-14,-52.0,-17.0,-29.0,-39.0,-14.0,10.0,2020,1,3,11,2020-03-09,2020-2022,comparison_country,-35.0
Poland,PL,2020-03-15,-70.0,-43.0,-17.0,-52.0,-26.0,10.0,2020,1,3,11,2020-03-09,2020-2022,comparison_country,-49.333333333333336
Poland,PL,2020-03-16,-50.0,-23.0,-20.0,-52.0,-33.0,15.0,2020,1,3,12,2020-03-16,2020-2022,comparison_country,-45.0
Poland,PL,2020-03-17,-53.0,-26.0,5.0,-53.0,-38.0,17.0,2020,1,3,12,2020-03-16,2020-2022,comparison_country,-48.0
Poland,PL,2020-03-18,-51.0,-24.0,14.0,-52.0,-39.0,16.0,2020,1,3,12,2020-03-16,2020-2022,comparison_country,-47.333333333333336
Poland,PL,2020-03-19,-52.0,-24.0,-3.0,-54.0,-40.0,17.0,2020,1,3,12,2020-03-16,2020-2022,comparison_country,-48.666666666666664
Poland,PL,2020-03-20,-55.0,-23.0,-31.0,-58.0,-39.0,19.0,2020,1,3,12,2020-03-16,2020-2022,comparison_country,-50.666666666666664
Poland,PL,2020-03-21,-64.0,-32.0,-43.0,-59.0,-28.0,14.0,2020,1,3,12,2020-03-16,2020-2022,comparison_country,-50.333333333333336
Poland,PL,2020-03-22,-76.0,-55.0,-47.0,-66.0,-33.0,12.0,2020,1,3,12,2020-03-16,2020-2022,comparison_country,-58.333333333333336
Poland,PL,2020-03-23,-53.0,-27.0,-37.0,-59.0,-41.0,18.0,2020,1,3,13,2020-03-23,2020-2022,comparison_country,-51.0
Poland,PL,2020-03-24,-52.0,-21.0,-29.0,-58.0,-42.0,19.0,2020,1,3,13,2020-03-23,2020-2022,comparison_country,-50.666666666666664
Poland,PL,2020-03-25,-58.0,-30.0,-41.0,-62.0,-44.0,20.0,2020,1,3,13,2020-03-23,2020-2022,comparison_country,-54.666666666666664
Poland,PL,2020-03-26,-58.0,-30.0,-35.0,-62.0,-44.0,20.0,2020,1,3,13,2020-03-23,2020-2022,comparison_country,-54.666666666666664
Poland,PL,2020-03-27,-58.0,-28.0,-30.0,-62.0,-43.0,21.0,2020,1,3,13,2020-03-23,2020-2022,comparison_country,-54.333333333333336
Poland,PL,2020-03-28,-63.0,-34.0,-9.0,-56.0,-29.0,12.0,2020,1,3,13,2020-03-23,2020-2022,comparison_country,-49.333333333333336
Poland,PL,2020-03-29,-78.0,-59.0,-59.0,-71.0,-36.0,13.0,2020,1,3,13,2020-03-23,2020-2022,comparison_country,-61.666666666666664
Poland,PL,2020-03-30,-56.0,-32.0,-48.0,-64.0,-44.0,20.0,2020,1,3,14,2020-03-30,2020-2022,comparison_country,-54.666666666666664
Poland,PL,2020-03-31,-54.0,-25.0,-46.0,-63.0,-44.0,21.0,2020,1,3,14,2020-03-30,2020-2022,comparison_country,-53.666666666666664
Poland,PL,2020-04-01,-58.0,-38.0,-50.0,-64.0,-46.0,21.0,2020,2,4,14,2020-03-30,2020-2022,comparison_country,-56.0
Poland,PL,2020-04-02,-58.0,-35.0,-48.0,-64.0,-46.0,21.0,2020,2,4,14,2020-03-30,2020-2022,comparison_country,-56.0
Poland,PL,2020-04-03,-59.0,-33.0,-56.0,-65.0,-45.0,22.0,2020,2,4,14,2020-03-30,2020-2022,comparison_country,-56.333333333333336
Poland,PL,2020-04-04,-71.0,-44.0,-56.0,-63.0,-32.0,15.0,2020,2,4,14,2020-03-30,2020-2022,comparison_country,-55.333333333333336
Poland,PL,2020-04-05,-71.0,41.0,-59.0,-68.0,-27.0,12.0,2020,2,4,14,2020-03-30,2020-2022,comparison_country,-55.333333333333336
Poland,PL,2020-04-06,-54.0,-37.0,-43.0,-62.0,-45.0,19.0,2020,2,4,15,2020-04-06,2020-2022,comparison_country,-53.666666666666664
Poland,PL,2020-04-07,-53.0,-29.0,-37.0,-60.0,-46.0,20.0,2020,2,4,15,2020-04-06,2020-2022,comparison_country,-53.0
Poland,PL,2020-04-08,-50.0,-25.0,-37.0,-60.0,-46.0,18.0,2020,2,4,15,2020-04-06,2020-2022,comparison_country,-52.0
Poland,PL,2020-04-09,-48.0,-18.0,-38.0,-58.0,-48.0,19.0,2020,2,4,15,2020-04-06,2020-2022,comparison_country,-51.333333333333336
Poland,PL,2020-04-10,-50.0,-16.0,-48.0,-61.0,-54.0,23.0,2020,2,4,15,2020-04-06,2020-2022,comparison_country,-55.0
Poland,PL,2020-04-11,-76.0,-57.0,-57.0,-64.0,-48.0,17.0,2020,2,4,15,2020-04-06,2020-2022,comparison_country,-62.666666666666664
Poland,PL,2020-04-12,-88.0,-73.0,-63.0,-75.0,-41.0,13.0,2020,2,4,15,2020-04-06,2020-2022,comparison_country,-68.0
Poland,PL,2020-04-13,-92.0,-94.0,-71.0,-86.0,-90.0,34.0,2020,2,4,16,2020-04-13,2020-2022,comparison_country,-89.33333333333333
Poland,PL,2020-04-14,-59.0,-43.0,-54.0,-65.0,-48.0,21.0,2020,2,4,16,2020-04-13,2020-2022,comparison_country,-57.333333333333336
Poland,PL,2020-04-15,-53.0,-33.0,-49.0,-61.0,-45.0,20.0,2020,2,4,16,2020-04-13,2020-2022,comparison_country,-53.0
Poland,PL,2020-04-16,-55.0,-32.0,-40.0,-60.0,-43.0,19.0,2020,2,4,16,2020-04-13,2020-2022,comparison_country,-52.666666666666664
Poland,PL,2020-04-17,-53.0,-28.0,-44.0,-61.0,-42.0,20.0,2020,2,4,16,2020-04-13,2020-2022,comparison_country,-52.0
Poland,PL,2020-04-18,-67.0,-36.0,-42.0,-57.0,-23.0,12.0,2020,2,4,16,2020-04-13,2020-2022,comparison_country,-49.0
Poland,PL,2020-04-19,-76.0,-53.0,-56.0,-67.0,-27.0,11.0,2020,2,4,16,2020-04-13,2020-2022,comparison_country,-56.666666666666664
Poland,PL,2020-04-20,-45.0,-27.0,3.0,-56.0,-40.0,16.0,2020,2,4,17,2020-04-20,2020-2022,comparison_country,-47.0
Poland,PL,2020-04-21,-47.0,-25.0,10.0,-55.0,-40.0,17.0,2020,2,4,17,2020-04-20,2020-2022,comparison_country,-47.333333333333336
Poland,PL,2020-04-22,-47.0,-26.0,11.0,-55.0,-39.0,16.0,2020,2,4,17,2020-04-20,2020-2022,comparison_country,-47.0
Poland,PL,2020-04-23,-45.0,-21.0,29.0,-53.0,-39.0,15.0,2020,2,4,17,2020-04-20,2020-2022,comparison_country,-45.666666666666664
Poland,PL,2020-04-24,-46.0,-20.0,5.0,-54.0,-38.0,15.0,2020,2,4,17,2020-04-20,2020-2022,comparison_country,-46.0
Poland,PL,2020-04-25,-61.0,-27.0,-15.0,-52.0,-22.0,10.0,2020,2,4,17,2020-04-20,2020-2022,comparison_country,-45.0
Poland,PL,2020-04-26,-54.0,73.0,10.0,-53.0,-14.0,7.0,2020,2,4,17,2020-04-20,2020-2022,comparison_country,-40.333333333333336
