week_start,cases,future_deaths,pandemic_period,cases_log1p,week_start_label
2019-12-30,0.0,0.0,2020-2022,0.0,2019-12-30
2020-01-06,0.0,0.0,2020-2022,0.0,2020-01-06
2020-01-13,0.0,0.0,2020-2022,0.0,2020-01-13
2020-01-20,0.0,0.0005986614346391,2020-2022,0.0,2020-01-20
2020-01-27,0.0005986614346391,0.0032926378905151,2020-2022,0.0005984823083695322,2020-01-27
2020-02-03,0.031130394601234,0.0002993307173195,2020-2022,0.030655670947695474,2020-02-03
2020-02-10,0.0281370874280384,0.0,2020-2022,0.027748511671402125,2020-02-10
2020-02-17,0.0092792522369063,0.0020953150212369,2020-2022,0.009236464464551113,2020-02-17
2020-02-24,0.0317290560358731,0.0041906300424738,2020-2022,0.03123608998813077,2020-02-24
2020-03-02,0.3211818596838861,0.0419063004247381,2020-2022,0.27852668425849847,2020-03-02
2020-03-09,1.9468469854464072,0.4531867060218112,2020-2022,1.080735780265177,2020-03-09
2020-03-16,7.65777774118626,2.446729283370069,2020-2022,2.1584580777716273,2020-03-16
2020-03-23,22.504581320236355,8.193879055905589,2020-2022,3.1571953519471627,2020-03-23
2020-03-30,48.52569990754288,16.260243226233047,2020-2022,3.9024917248934936,2020-03-30
2020-04-06,67.15634308422952,19.371486702052533,2020-2022,4.221804229148492,2020-04-06
2020-04-13,64.87005506534273,17.494683104458904,2020-2022,4.187683938622234,2020-04-13
2020-04-20,69.2193303879959,13.893435244387302,2020-2022,4.251623634779067,2020-04-20
2020-04-27,67.50745801564535,10.614267236151536,2020-2022,4.226942615482411,2020-04-27
2020-05-04,58.94719816174062,7.885269086349124,2020-2022,4.093464144130151,2020-05-04
2020-05-11,45.55663852245018,6.014751433819206,2020-2022,3.8406696041341055,2020-05-11
2020-05-18,38.17723834837111,4.539050997433782,2020-2022,3.6680959237730892,2020-05-18
2020-05-25,29.372724629133614,3.4761276202320306,2020-2022,3.413544989525934,2020-05-25
2020-06-01,21.371913885899144,2.510187395441816,2020-2022,3.107806327760942,2020-06-01
2020-06-08,16.066576252127295,1.8241213913453884,2020-2022,2.837121945636403,2020-06-08
2020-06-15,14.806393932211952,1.3748259846487314,2020-2022,2.7604145374262767,2020-06-15
2020-06-22,12.70179965873814,1.1634984982211232,2020-2022,2.6175271861585427,2020-06-22
2020-06-29,9.856960521333054,0.8037029760030141,2020-2022,2.3848063970022504,2020-06-29
2020-07-06,8.713517181172344,0.6273971835017943,2020-2022,2.2735184392882926,2020-07-06
2020-07-13,8.962560337982215,0.4651599347145936,2020-2022,2.2988341006081274,2020-07-13
2020-07-20,9.723459021408532,0.3906265861020235,2020-2022,2.3724337735034293,2020-07-20
2020-07-27,11.091101068841594,0.3289644583341946,2020-2022,2.492469733171448,2020-07-27
2020-08-03,12.377923822598374,0.3154945760548145,2020-2022,2.593605872450551,2020-08-03
2020-08-10,15.137453705567385,0.2828675278669826,2020-2022,2.781142887419917,2020-08-10
2020-08-17,15.936666720810605,0.2086335099717321,2020-2022,2.8294809001343784,2020-08-17
2020-08-24,17.334241839975622,0.1888776826286413,2020-2022,2.9087704502443184,2020-08-24
2020-08-31,24.401440075890395,0.2179127622086384,2020-2022,3.234805868318536,2020-08-31
2020-09-07,43.1449309330065,0.3136985917508971,2020-2022,3.7874781058038227,2020-09-07
2020-09-14,48.62896900501812,0.490004384252117,2020-2022,3.904574715759116,2020-09-14
2020-09-21,76.21079795242882,0.7154004143937444,2020-2022,4.346539317099969,2020-09-21
2020-09-28,121.68541985833345,1.0527461328128866,2020-2022,4.809623517095868,2020-09-28
2020-10-05,201.59265283894152,1.6095012670272653,2020-2022,5.311197326788513,2020-10-05
2020-10-12,242.5889878830282,2.5320385378061436,2020-2022,5.495482329079237,2020-10-12
2020-10-19,286.37867718114103,3.627588963195727,2020-2022,5.660800778760127,2020-10-19
2020-10-26,322.3663113323196,4.924888292058694,2020-2022,5.778785771439601,2020-10-26
2020-11-02,333.26584074207665,6.01834340242704,2020-2022,5.811936606757601,2020-11-02
2020-11-09,357.66099487290336,6.613712199175642,2020-2022,5.8823776383772,2020-11-09
2020-11-16,334.7110094452955,7.202495720143212,2020-2022,5.816250698936151,2020-11-16
2020-11-23,249.3918770955498,6.951057917594783,2020-2022,5.523027198985506,2020-11-23
2020-11-30,217.429941761602,6.694830823569242,2020-2022,5.386465330451986,2020-11-30
