lag_weeks,param,coef,std_err_HAC,p_value_HAC,conf_low_95,conf_high_95
0,const,-133.85626714715994,78.66076109888832,0.08881340874101105,-288.02852589749034,20.315991603170488
0,admissions_lag_0w,-0.24150080641536084,0.07668037123284062,0.0016357947550221907,-0.39179157235288964,-0.09121004047783202
0,ukhsa_occupied_beds_weekly_avg,0.3567965806249685,0.06570690770472846,5.631527360714833e-08,0.22801340798820333,0.48557975326173364
0,ukhsa_pcr_positivity_weekly_avg,-17.470520715914702,14.582223987647332,0.23088988365129814,-46.05115454619953,11.110113114370119
1,const,-101.734843834136,70.98435788865466,0.15180043970421633,-240.8616287616008,37.391941093328796
1,admissions_lag_1w,-0.5957611684894902,0.10778713303962766,3.253797802512668e-08,-0.8070200672439878,-0.3845022697349927
1,ukhsa_occupied_beds_weekly_avg,0.6477526681072681,0.09903953669826374,6.137737198184766e-11,0.4536387431331381,0.841866593081398
1,ukhsa_pcr_positivity_weekly_avg,-20.05535240286303,12.312564792440021,0.10334423971783437,-44.18753595336136,4.0768311476353
2,const,27.80900490607305,76.6602310374245,0.7167867133871365,-122.44228697379859,178.0602967859447
2,admissions_lag_2w,-0.04809264382814793,0.07602110928178925,0.5269803654567535,-0.19709128008523846,0.1009059924289426
2,ukhsa_occupied_beds_weekly_avg,0.23257191965490534,0.05666563129585521,4.055666510078435e-05,0.12150932315380338,0.3436345161560073
2,ukhsa_pcr_positivity_weekly_avg,-54.795569142632985,16.903674405062546,0.0011884547442925666,-87.92616218294711,-21.664976102318867
3,const,-10.605059668689506,81.56535472792224,0.8965512604865004,-170.47021732165092,149.2600979842719
3,admissions_lag_3w,0.01069253363773322,0.05588388767443166,0.8482632818935409,-0.09883787352023468,0.12022294079570112
3,ukhsa_occupied_beds_weekly_avg,0.18588545275130736,0.05471313396981929,0.000680155817927185,0.07864968068914656,0.29312122481346814
3,ukhsa_pcr_positivity_weekly_avg,-51.21149645684488,16.918779701278044,0.002470736437329391,-84.37169533371718,-18.051297579972577
4,const,-14.267389008728397,80.36378207253615,0.8590881273727203,-171.77750753232493,143.24272951486813
4,admissions_lag_4w,0.008756644538465055,0.04084853313922676,0.8302595940463762,-0.07130500923571027,0.08881829831264039
4,ukhsa_occupied_beds_weekly_avg,0.18781297257439641,0.051708115438189824,0.0002810413989565383,0.08646692860710481,0.289159016541688
4,ukhsa_pcr_positivity_weekly_avg,-50.96814941172395,18.149136631126378,0.004980441212616204,-86.53980355922826,-15.396495264219638
