lag_weeks,n,r_squared,aic,bic
0,278,0.8275503198683793,4165.924090473251,4180.434574928014
1,278,0.856533819719781,4114.77037949433,4129.280863949092
2,278,0.7794504809803082,4234.316750084752,4248.827234539514
3,278,0.7777145447933906,4236.496310237093,4251.006794691855
4,278,0.777786758875711,4236.405981445458,4250.91646590022
