period,n,coef_t_log_scale,p_value_t_HAC,r_squared_log_scale,approx_weekly_percent_change
2020-2022,157,-0.0016957590583825098,0.5440781554302387,0.010777885512707752,-0.16943220713664386
2023-2026,174,-0.0037413598645700216,9.56912873649021e-07,0.48242735563714,-0.37343696980454144
