location,lag_weeks,param,coef,std_err_HAC,p_value_HAC,conf_low_95,conf_high_95
Europe,1,const,1.9489684035769625,0.38675625546591547,4.6731584004536203e-07,1.1909400720681957,2.7069967350857294
Europe,1,cases_lag_1w,0.0017315609639243755,0.00045439245362644475,0.0001385644236891368,0.0008409681199697571,0.002622153807878994
Europe,1,later_period,-1.9503004183963828,0.386913621374581,4.639265345053137e-07,-2.7086371814185286,-1.1919636553742372
Europe,1,interaction,0.005804515913729908,0.0005612982475579665,4.585989752305198e-25,0.004704391563930847,0.0069046402635289696
Europe,2,const,1.9963562941796689,0.3869440837310923,2.478896238286389e-07,1.237959826035877,2.7547527623234607
Europe,2,cases_lag_2w,0.0016215087913138005,0.00044165048705548744,0.0002411545225780109,0.0007558897429304718,0.002487127839697129
Europe,2,later_period,-1.9894975126286945,0.38722484079093944,2.7792107602600055e-07,-2.7484442544981924,-1.2305507707591967
Europe,2,interaction,0.0048582133447602665,0.0006447594170224687,4.886185133268116e-14,0.0035945081087031864,0.006121918580817346
Europe,3,const,2.066667664381056,0.39125034294471545,1.2763265381357234e-07,1.2998310832704691,2.8335042454916435
Europe,3,cases_lag_3w,0.001435632027252227,0.00045006239233398267,0.0014234610336433422,0.0005535259474816853,0.002317738107022769
Europe,3,later_period,-2.0534015671773713,0.39148944631655863,1.5619699565950762e-07,-2.8207067822853533,-1.2860963520693893
Europe,3,interaction,0.004213913217148631,0.0006868349146897176,8.501813031077757e-10,0.002867741521032144,0.005560084913265118
Europe,4,const,2.157147361909245,0.39899762941220085,6.429818627719406e-08,1.375126378344472,2.939168345474018
Europe,4,cases_lag_4w,0.001183066854585052,0.00047348217953011685,0.012466691929765425,0.00025505883538449493,0.002111074873785609
Europe,4,later_period,-2.139513433895123,0.39913338804859516,8.303924099368434e-08,-2.9218004994978193,-1.3572263682924268
Europe,4,interaction,0.0038670143228257555,0.0007055755524301706,4.237603878637152e-08,0.0024841116516906687,0.005249916993960843
Poland,1,const,0.859487345292895,0.407305730945475,0.03484307905736244,0.06118278194300264,1.6577919086427875
Poland,1,cases_lag_1w,0.012959937203423644,0.0035823760461703344,0.0002972405223148865,0.005938609173850791,0.019981265232996495
Poland,1,later_period,-0.8611625424894045,0.4074042892468048,0.03453416598043858,-1.6596602765602806,-0.06266480841852828
Poland,1,interaction,-0.007614223682111216,0.003665684651679768,0.037786538834118054,-0.014798833578084813,-0.00042961378613761824
Poland,2,const,0.802361204559225,0.39447921402087627,0.04195402790092855,0.0291961524286396,1.5755262566898103
Poland,2,cases_lag_2w,0.013378229377263318,0.003757278879181358,0.00036998503727383476,0.006014098094194835,0.0207423606603318
Poland,2,later_period,-0.8077855815581545,0.39457029787368386,0.040633161597316475,-1.5811291547598159,-0.034442008356493026
Poland,2,interaction,-0.007711930165500641,0.0038573757022917843,0.04557929839206501,-0.015272247616832435,-0.00015161271416884534
Poland,3,const,0.8650527342502041,0.40143539968106023,0.031169740047287394,0.07825380875588417,1.651851659744524
Poland,3,cases_lag_3w,0.013011728460685712,0.003771341496456252,0.0005602561104802086,0.005620034954230066,0.020403421967141358
Poland,3,later_period,-0.8688011439297174,0.40153149248653447,0.030485955461329206,-1.6557884078619403,-0.08181387999749457
Poland,3,interaction,-0.007547977647501939,0.0038871575616014455,0.052164585368719804,-0.015166666470473308,7.071117546943086e-05
Poland,4,const,1.0427575325221239,0.437607141182877,0.01717862156246109,0.18506329642615027,1.9004517686180975
Poland,4,cases_lag_4w,0.011904930939744172,0.003666874515333159,0.0011678612815741029,0.004717988953863415,0.01909187292562493
