dataset,location,variable,n,acf_lag1,acf_lag2,durbin_watson_on_centered_series,ljung_box_p_lag4,ljung_box_p_lag8,interpretation
covid_weekly,Europe,new_cases_per_million_7d_avg,331,0.9808694923549128,0.9325737790061024,0.03823173233977612,1.0080323962414218e-232,0.0,strong autocorrelation likely
covid_weekly,Europe,new_deaths_per_million_7d_avg,331,0.9878588091173767,0.9554488663607623,0.02425086531461947,2.1477210529787636e-248,0.0,strong autocorrelation likely
covid_weekly,Europe,new_cases_per_million_calc,331,0.9799933396089842,0.9308930222332026,0.0399828664999332,5.356581434131561e-232,0.0,strong autocorrelation likely
covid_weekly,Europe,new_deaths_per_million_calc,331,0.9876655830804114,0.9553771537382703,0.024636844891481532,3.136113157412706e-248,0.0,strong autocorrelation likely
covid_weekly,Europe,total_cases_per_million,331,0.9998930250897412,0.9995749344756671,0.000280471550477654,3.674302150444304e-281,0.0,strong autocorrelation likely
covid_weekly,Europe,total_deaths_per_million,331,0.9999302253296077,0.9997227646276826,0.0002672975565488078,1.215940840722626e-276,0.0,strong autocorrelation likely
covid_weekly,Europe,people_vaccinated_per_hundred,331,0.9998315997904467,0.9993277323759319,0.00042159978032889106,2.266571329150214e-279,0.0,strong autocorrelation likely
covid_weekly,Europe,people_fully_vaccinated_per_hundred,331,0.9998149292034119,0.9992642051623623,0.00044654588756820504,5.599001811690801e-280,0.0,strong autocorrelation likely
covid_weekly,Europe,total_boosters_per_hundred,331,0.9997443623531848,0.9990052022500171,0.0005647506132843148,9.44604410931394e-282,0.0,strong autocorrelation likely
covid_weekly,Poland,new_cases_per_million_7d_avg,331,0.9510105279337895,0.8376814161301951,0.09792027685812701,2.0498174172846295e-177,1.613236319564844e-235,strong autocorrelation likely
covid_weekly,Poland,new_deaths_per_million_7d_avg,331,0.9791567141718066,0.9347333523858089,0.04166032911081073,1.8927904209852083e-233,0.0,strong autocorrelation likely
covid_weekly,Poland,new_cases_per_million_calc,331,0.9482096993321631,0.8305010135873071,0.10351916801623315,1.8904688582523864e-174,5.500362146867954e-231,strong autocorrelation likely
covid_weekly,Poland,new_deaths_per_million_calc,331,0.974971965893605,0.9342605174692236,0.05002465061824546,4.798367043588262e-232,0.0,strong autocorrelation likely
covid_weekly,Poland,total_cases_per_million,331,0.9998368504120125,0.999362257608908,0.0004172272071035157,8.442053803855689e-279,0.0,strong autocorrelation likely
covid_weekly,Poland,total_deaths_per_million,331,0.9998482712775267,0.9993985822385671,0.0004118355818546184,1.213235612004117e-277,0.0,strong autocorrelation likely
covid_weekly,Poland,people_vaccinated_per_hundred,331,0.9997357380557855,0.998968111269151,0.0006144621421224986,8.021218885274232e-279,0.0,strong autocorrelation likely
covid_weekly,Poland,people_fully_vaccinated_per_hundred,331,0.999691826377926,0.9987748733970245,0.0006931714705833686,2.4980816197126497e-279,0.0,strong autocorrelation likely
covid_weekly,Poland,total_boosters_per_hundred,331,0.999714832345841,0.998944703740111,0.0006203873538159922,4.633683810407649e-282,0.0,strong autocorrelation likely
covid_weekly,Poland,stringency_index,157,0.9826339452282338,0.9479530160949649,0.03430612142064386,6.832080769605943e-110,3.3021084277174627e-162,strong autocorrelation likely
covid_weekly,Poland,reproduction_rate,148,0.9247551148924299,0.7491746183797251,0.1458913709599378,2.564175334081972e-47,4.49878960759955e-45,strong autocorrelation likely
covid_weekly,Poland,positive_rate,119,0.9586956380964728,0.8634326467874052,0.08235506030057248,9.154793605092206e-68,2.1916061728589062e-80,strong autocorrelation likely
covid_weekly,Poland,tests_per_case,119,0.972285784556849,0.8976034575649947,0.05538246438398911,4.191260970523229e-74,1.0656808799532587e-87,strong autocorrelation likely
covid_weekly,Poland,excess_mortality_cumulative_per_million,209,0.9996475840094202,0.9986688604715928,0.0008447639021992112,7.319036343530057e-176,0.0,strong autocorrelation likely
covid_weekly,United Kingdom,new_cases_per_million_7d_avg,331,0.954589222408902,0.8677526128842026,0.09076344317323978,1.2393651643468366e-199,3.571407788632985e-298,strong autocorrelation likely
covid_weekly,United Kingdom,new_deaths_per_million_7d_avg,331,0.961158352788733,0.8617813977572162,0.07763213799823081,1.9904787820583537e-185,6.844396471695728e-225,strong autocorrelation likely
covid_weekly,United Kingdom,new_cases_per_million_calc,331,0.9484326484656966,0.856655873248831,0.10306933075913188,2.1003095918388273e-195,7.966458055626632e-292,strong autocorrelation likely
covid_weekly,United Kingdom,new_deaths_per_million_calc,331,0.9595519312721406,0.857524092981641,0.0808432633369808,1.682522087242878e-183,4.934799526076611e-222,strong autocorrelation likely
covid_weekly,United Kingdom,total_cases_per_million,331,0.9998687071106357,0.999486961253866,0.0003343410363442282,1.2968931035106155e-280,0.0,strong autocorrelation likely
covid_weekly,United Kingdom,total_deaths_per_million,331,0.9998069793308711,0.9992433417980685,0.0005940973615542981,2.2905648322025065e-271,0.0,strong autocorrelation likely
covid_weekly,United Kingdom,people_vaccinated_per_hundred,331,0.9996858289219429,0.998783397631308,0.0007287341168200669,1.6457508433864986e-277,0.0,strong autocorrelation likely
covid_weekly,United Kingdom,people_fully_vaccinated_per_hundred,331,0.9997299613754094,0.9989227047897344,0.0006208012572578921,3.4142522788995138e-279,0.0,strong autocorrelation likely
covid_weekly,United Kingdom,total_boosters_per_hundred,331,0.9995552583732429,0.9982876849072921,0.0009397802371982122,3.2180020439783877e-281,0.0,strong autocorrelation likely
covid_weekly,United Kingdom,stringency_index,157,0.9850445876035662,0.9596369602754347,0.029515460352599995,6.393867325936049e-116,1.9426982834151063e-195,strong autocorrelation likely
covid_weekly,United Kingdom,reproduction_rate,149,0.9448965681005279,0.7898828117985529,0.10468778934586621,5.2937197378910687e-42,6.870644407562065e-40,strong autocorrelation likely
covid_weekly,United Kingdom,positive_rate,112,0.9488370452251561,0.8159582261269647,0.10312904705451202,2.8006117977064803e-34,5.742908695560712e-33,strong autocorrelation likely
covid_weekly,United Kingdom,tests_per_case,112,0.9654785741459229,0.8991800045774635,0.06885913548570452,3.357134981394368e-71,8.667338429007628e-87,strong autocorrelation likely
covid_weekly,United Kingdom,excess_mortality_cumulative_per_million,209,0.9995478700629894,0.998332470947347,0.0011984876839464054,5.169593932013828e-168,4.051818937001857e-309,strong autocorrelation likely
covid_weekly,World,new_cases_per_million_7d_avg,331,0.8977178310975662,0.7154940166159325,0.20438472715196196,8.99452428445683e-137,4.3838706303352984e-179,strong autocorrelation likely
covid_weekly,World,new_deaths_per_million_7d_avg,331,0.9876754176468309,0.9693198828839348,0.02460497972023874,5.659328557170944e-264,0.0,strong autocorrelation likely
covid_weekly,World,new_cases_per_million_calc,331,0.8687483929692114,0.6832048328181872,0.26228047325705506,2.4409467075735927e-126,1.5827749563119731e-165,strong autocorrelation likely
covid_weekly,World,new_deaths_per_million_calc,331,0.9780037327503581,0.9630303202990425,0.04391411139282948,6.112610469289107e-260,0.0,strong autocorrelation likely
covid_weekly,World,total_cases_per_million,331,0.9998993435916073,0.9996238864301348,0.00027163791768371144,7.360335174558374e-281,0.0,strong autocorrelation likely
covid_weekly,World,total_deaths_per_million,331,0.9999561171744507,0.9998280874082398,0.00021970825017041546,1.6653207597585428e-276,0.0,strong autocorrelation likely
covid_weekly,World,people_vaccinated_per_hundred,331,0.9997803510768635,0.9993883902468692,0.0005199720059615936,8.980552153597467e-280,0.0,strong autocorrelation likely
covid_weekly,World,people_fully_vaccinated_per_hundred,331,0.9996849665145598,0.9992213007039998,0.0007066613907500257,6.609459267692067e-280,0.0,strong autocorrelation likely
covid_weekly,World,total_boosters_per_hundred,331,0.9998565749522991,0.9994812507817061,0.0003407676244786345,2.7017665517998173e-282,0.0,strong autocorrelation likely
covid_weekly,World,reproduction_rate,155,0.8682215442705448,0.5087851328287665,0.25262259018184247,3.0844979342145595e-19,5.686562322068666e-25,strong autocorrelation likely
mobility_weekly,Poland,retail_and_recreation_percent_change_from_baseline,140,0.9343375992945058,0.8674997069706115,0.1306739580631069,2.425757274833897e-82,6.589104408350734e-108,strong autocorrelation likely
mobility_weekly,Poland,grocery_and_pharmacy_percent_change_from_baseline,140,0.8496717685080597,0.8253408261142086,0.2989457254025865,3.446919827218077e-79,2.7809035427265016e-136,strong autocorrelation likely
mobility_weekly,Poland,parks_percent_change_from_baseline,140,0.931730368459774,0.8783547150635649,0.1363656528417792,2.456688808768574e-87,7.6737487210655e-121,strong autocorrelation likely
mobility_weekly,Poland,transit_stations_percent_change_from_baseline,140,0.9571838651669304,0.9007417043713094,0.08486579181251666,3.528825805515712e-89,7.294740896033424e-129,strong autocorrelation likely
mobility_weekly,Poland,workplaces_percent_change_from_baseline,140,0.7875596965593106,0.624817894071911,0.42128810618430956,2.0538748444132056e-42,2.8687971919302156e-50,strong autocorrelation likely
mobility_weekly,Poland,residential_percent_change_from_baseline,140,0.9145068169267085,0.8116354356756226,0.17035885826216246,1.4108660800642961e-71,9.653235559737134e-85,strong autocorrelation likely
mobility_weekly,Poland,mobility_restriction_index,140,0.9237315620888545,0.8463097619275766,0.1513238916579485,5.22626505455183e-78,4.1767545178635445e-106,strong autocorrelation likely
mobility_weekly,United Kingdom,retail_and_recreation_percent_change_from_baseline,140,0.9586973038443,0.8895340074589603,0.08226742467117944,1.5465236094700824e-86,5.945209960740342e-122,strong autocorrelation likely
mobility_weekly,United Kingdom,grocery_and_pharmacy_percent_change_from_baseline,140,0.9143332729811672,0.8308115269370122,0.17077523253698043,6.089516026495999e-78,1.3471047152088752e-115,strong autocorrelation likely
mobility_weekly,United Kingdom,parks_percent_change_from_baseline,140,0.8632950036522472,0.7930329929622583,0.2698193076878982,3.603535545536121e-69,1.2507161599937331e-95,strong autocorrelation likely
mobility_weekly,United Kingdom,transit_stations_percent_change_from_baseline,140,0.9430208683700666,0.8447347539355796,0.11235707247700155,2.1002838975733764e-71,1.2798153024318764e-87,strong autocorrelation likely
mobility_weekly,United Kingdom,workplaces_percent_change_from_baseline,140,0.8472428761381391,0.6548231617121765,0.30024349038788184,2.334858966541533e-44,6.1098983468797e-45,strong autocorrelation likely
mobility_weekly,United Kingdom,residential_percent_change_from_baseline,140,0.9424522740889927,0.8497870652696848,0.11408489056228535,3.3074974533827564e-77,2.640834537593937e-100,strong autocorrelation likely
mobility_weekly,United Kingdom,mobility_restriction_index,140,0.9421102385786838,0.8404820651315192,0.11461279199111984,1.8170374568274627e-73,2.138395355374222e-92,strong autocorrelation likely
ukhsa_weekly,England,ukhsa_covid_deaths_weekly,279,0.9785247236673155,0.9260557750403225,0.043400373654441965,1.0376347229899214e-134,2.372259293305481e-145,strong autocorrelation likely
ukhsa_weekly,England,ukhsa_hospital_admissions_weekly_sum,301,0.9668711752792394,0.8855316754620113,0.06607361102477463,2.244610762411983e-180,1.911635567611544e-238,strong autocorrelation likely
ukhsa_weekly,England,ukhsa_occupied_beds_weekly_avg,301,0.9769566606076185,0.9153502920761363,0.04598773058471826,6.756440010003453e-197,1.757585478742528e-273,strong autocorrelation likely
ukhsa_weekly,England,ukhsa_pcr_tests_weekly_sum,329,0.9921332868350934,0.9815313171178711,0.015712961130718805,5.417722931818708e-271,0.0,strong autocorrelation likely
ukhsa_weekly,England,ukhsa_pcr_positivity_weekly_avg,329,0.9342095713385533,0.7797512099063024,0.13099627592886723,7.983194708194399e-141,2.0501570064105255e-145,strong autocorrelation likely
