location,pandemic_period,dataset,variable,n,missing_pct,mean,median,std,min,q25,q75,max,skew,kurtosis
Europe,2020-2022,covid_weekly,new_cases_per_million_7d_avg,157,0.0,294.59030886184627,202.34093978934789,373.19062139708404,0.0001090887298987,59.46121218336542,311.4242697959568,2074.2788362543847,2.740358239020584,8.428903852009636
Europe,2020-2022,covid_weekly,new_deaths_per_million_7d_avg,157,0.0,2.4447963327647857,1.5023972603479057,2.099033007176669,0.0,0.7672483095603051,4.108663378541151,7.595002825192472,0.8527004861796855,-0.3988778605756491
Europe,2020-2022,covid_weekly,new_cases_per_million_calc,157,0.0,295.1606239832313,197.19732435807492,374.19572271180664,0.0001909052773227,60.28235032549567,313.8576302772605,2107.7637855298976,2.7405273758037714,8.405395933131699
Europe,2020-2022,covid_weekly,new_deaths_per_million_calc,157,0.0,2.4491061713949955,1.5509144729703706,2.0953214127169133,0.0,0.7661028778963683,3.9868658116092095,7.701500697756116,0.855772881956094,-0.3865571275362343
Europe,2020-2022,covid_weekly,total_cases_per_million,157,0.0,113220.01733245919,64549.598,115511.11796884179,0.0013370679,7027.265,242278.36,324558.94,0.7030680902213864,-1.138192375484156
Europe,2020-2022,covid_weekly,total_deaths_per_million,157,0.0,1417.8786383704746,1527.0105,953.493268907223,0.0040112035,312.1305,2432.969,2693.03,-0.1449376735550876,-1.4899765404293834
Europe,2020-2022,covid_weekly,people_vaccinated_per_hundred,157,0.0,35.11530481999999,42.97036,30.86015620367013,0.0,0.0,68.02963,69.62428,-0.07944258300829331,-1.8605609253310773
Europe,2020-2022,covid_weekly,people_fully_vaccinated_per_hundred,157,0.0,31.74051748343948,30.014381,29.77498807417393,0.0,0.0,65.1456,66.6068,0.047350653415764825,-1.8832894915954355
Europe,2020-2022,covid_weekly,total_boosters_per_hundred,157,0.0,15.104360644585986,1.5758799,19.141528307998154,0.0,0.0,39.09481,47.699654,0.6930411172552832,-1.418534799575471
Europe,2020-2022,covid_weekly,stringency_index,0,100.0,,,,,,,,,
Europe,2020-2022,covid_weekly,reproduction_rate,0,100.0,,,,,,,,,
Europe,2020-2022,covid_weekly,positive_rate,0,100.0,,,,,,,,,
Europe,2020-2022,covid_weekly,tests_per_case,0,100.0,,,,,,,,,
Europe,2020-2022,covid_weekly,excess_mortality_cumulative_per_million,0,100.0,,,,,,,,,
Europe,2023-2026,covid_weekly,new_cases_per_million_7d_avg,174,0.0,13.852362779100227,5.26886292928795,20.55298169482447,0.1040433761409221,1.7233496647121833,15.48361114886178,123.9312334000314,2.4621426604202648,6.641419036497499
Europe,2023-2026,covid_weekly,new_deaths_per_million_7d_avg,174,0.0,0.11038259119947708,0.035794739498023295,0.183054621060018,0.0009545263866135,0.0101657060174383,0.12215210530411245,1.0996962139267117,2.724529404985839,8.537995954434084
Europe,2023-2026,covid_weekly,new_cases_per_million_calc,174,0.0,13.337761773671868,5.255049568864523,19.15117223183493,0.1040433761409221,1.7233496647121833,14.937908413634577,98.903251549006,2.2216858209439247,4.560220056503036
Europe,2023-2026,covid_weekly,new_deaths_per_million_calc,174,0.0,0.10649552151343045,0.0357947394980236,0.17269938160059178,0.0009545263866139,0.0101657060174387,0.11544996646095905,1.0299339711564683,2.587326948776588,7.443858614240886
Europe,2023-2026,covid_weekly,total_cases_per_million,174,0.0,337326.0931609195,338614.74,3872.6797565224697,325251.66,334564.3775,340269.5325,340897.5,-1.2212093672063686,0.708862729708589
Europe,2023-2026,covid_weekly,total_deaths_per_million,174,0.0,2800.8650534482763,2812.25095,28.258263913236643,2700.2434,2787.57125,2820.360275,2823.1548,-1.6688967932535315,2.214520289909315
