location,dataset,variable,n,missing_pct,mean,median,std,min,q25,q75,max,skew,kurtosis
England,ukhsa_weekly,ukhsa_covid_deaths_weekly,279,15.19756838905775,475.77777777777777,204.0,1031.257157328068,11.0,97.5,516.0,8063.0,5.586761635535134,33.67268598968275
England,ukhsa_weekly,ukhsa_hospital_admissions_weekly_sum,301,8.51063829787234,3866.435215946844,2541.0,4124.134683375699,107.0,1018.0,5263.0,25938.0,2.313401183827172,7.1842775023900245
England,ukhsa_weekly,ukhsa_occupied_beds_weekly_avg,301,8.51063829787234,4804.530256288562,2852.5714285714284,5324.927508982868,225.75,1187.0,6376.285714285715,33486.42857142857,2.4656135115061817,8.067867109161615
England,ukhsa_weekly,ukhsa_pcr_tests_weekly_sum,329,0.0,4053069.73556231,310762.0,6205527.938533762,1333.0,185609.0,6496104.0,26104670.0,1.5666430639969815,1.3436750748016886
England,ukhsa_weekly,ukhsa_pcr_positivity_weekly_avg,329,0.0,7.846823708206687,7.218571428571429,5.761398908530091,0.1271428571428571,3.46,10.381428571428572,39.26428571428572,1.8708846631246872,6.422676656341312
