location,dataset,variable,n,missing_pct,mean,median,std,min,q25,q75,max,skew,kurtosis
Poland,mobility_weekly,retail_and_recreation_percent_change_from_baseline,140,0.0,-7.738775510204083,-1.7857142857142856,20.844465961654837,-65.0,-22.214285714285715,7.7142857142857135,22.285714285714285,-0.8005118442205373,-0.18435919001412815
Poland,mobility_weekly,grocery_and_pharmacy_percent_change_from_baseline,140,0.0,14.322789115646259,18.857142857142858,21.027313195510654,-45.57142857142857,-1.8928571428571428,31.75,59.42857142857143,-0.3566286225562226,-0.49224743450623576
Poland,mobility_weekly,parks_percent_change_from_baseline,140,0.0,63.81428571428572,46.64285714285714,68.5005322520038,-51.857142857142854,7.25,113.07142857142858,215.71428571428572,0.5583282766156978,-0.7661530530427441
Poland,mobility_weekly,transit_stations_percent_change_from_baseline,140,0.0,-13.855102040816325,-11.285714285714285,21.117224161352414,-65.28571428571429,-29.785714285714285,1.5714285714285714,18.571428571428573,-0.43255697130818094,-0.6739701448678272
Poland,mobility_weekly,workplaces_percent_change_from_baseline,140,0.0,-10.945238095238095,-10.357142857142858,13.739956519639536,-47.142857142857146,-18.571428571428573,-0.9642857142857143,13.714285714285714,-0.4428443571719532,-0.015493943988910797
Poland,mobility_weekly,residential_percent_change_from_baseline,140,0.0,3.63078231292517,2.4285714285714284,5.035340201413193,-3.2857142857142856,-0.17857142857142852,6.928571428571429,19.571428571428573,1.050936130448146,0.7344323098519392
Poland,mobility_weekly,mobility_restriction_index,140,0.0,-10.846371882086169,-7.666666666666666,17.59997707850131,-58.57142857142857,-23.976190476190474,2.8095238095238093,15.857142857142858,-0.7380056806507768,-0.20675757528840544
United Kingdom,mobility_weekly,retail_and_recreation_percent_change_from_baseline,140,0.0,-26.04166666666667,-16.285714285714285,21.462621518750602,-76.85714285714286,-39.75,-9.821428571428571,4.0,-0.9550043000054295,-0.37204302233616726
United Kingdom,mobility_weekly,grocery_and_pharmacy_percent_change_from_baseline,140,0.0,-3.5399659863945585,0.2857142857142857,11.015407030946827,-33.57142857142857,-11.321428571428573,5.571428571428571,12.0,-0.9107254893985747,0.002037691203653491
United Kingdom,mobility_weekly,parks_percent_change_from_baseline,140,0.0,34.16139455782312,31.5,33.67867311260394,-31.5,7.678571428571429,63.25,116.14285714285714,0.20028939354870584,-0.8958665871532663
United Kingdom,mobility_weekly,transit_stations_percent_change_from_baseline,140,0.0,-36.5469387755102,-32.85714285714286,15.616863223150656,-72.14285714285714,-47.714285714285715,-26.035714285714285,0.1428571428571428,-0.41557456578352686,-0.280325851735439
United Kingdom,mobility_weekly,workplaces_percent_change_from_baseline,140,0.0,-30.904251700680277,-27.785714285714285,12.910360364938802,-67.85714285714286,-37.035714285714285,-22.25,0.8571428571428571,-0.7248826001701285,0.9457443160266665
United Kingdom,mobility_weekly,residential_percent_change_from_baseline,140,0.0,9.313095238095238,7.0,5.877110884439662,0.1428571428571428,5.392857142857143,12.75,25.0,0.9713150784136071,0.1545483452836538
United Kingdom,mobility_weekly,mobility_restriction_index,140,0.0,-31.164285714285715,-24.714285714285715,16.070032497444263,-71.90476190476191,-40.95238095238095,-19.595238095238095,0.8571428571428571,-0.8046931760349832,-0.07552674431753337
