location,lag_weeks,n,pearson_r,spearman_r,abs_pearson_r,abs_spearman_r
Europe,0,331,0.5193887698956945,0.930181972031432,0.5193887698956945,0.930181972031432
Europe,1,330,0.5151576163790942,0.9252584370342868,0.5151576163790942,0.9252584370342868
Europe,2,329,0.50338535442665,0.9140926653215261,0.50338535442665,0.9140926653215261
Europe,3,328,0.48223230715984716,0.8969520134451904,0.48223230715984716,0.8969520134451904
Europe,4,327,0.45289864459078094,0.8756158999683757,0.45289864459078094,0.8756158999683757
Europe,5,326,0.4179391459486385,0.8513428197715718,0.4179391459486385,0.8513428197715718
Europe,6,325,0.38066027313744566,0.8261181710768941,0.38066027313744566,0.8261181710768941
Europe,7,324,0.34379588440738873,0.8008630313954714,0.34379588440738873,0.8008630313954714
Europe,8,323,0.3092428281816623,0.7764709757715905,0.3092428281816623,0.7764709757715905
Poland,2,329,0.8350607726906879,0.8500413951363038,0.8350607726906879,0.8500413951363038
Poland,1,330,0.8141580659859443,0.8497154478029484,0.8141580659859443,0.8497154478029484
Poland,0,331,0.7703307501599316,0.8422230148043494,0.7703307501599316,0.8422230148043494
Poland,3,328,0.8181503544745719,0.840609945966329,0.8181503544745719,0.840609945966329
Poland,4,327,0.7657997787057965,0.8214400385167565,0.7657997787057965,0.8214400385167565
Poland,5,326,0.6884816587338098,0.7944597114104294,0.6884816587338098,0.7944597114104294
Poland,6,325,0.6037203891301294,0.7624296718602191,0.6037203891301294,0.7624296718602191
Poland,7,324,0.5214905035139261,0.724445609386559,0.5214905035139261,0.724445609386559
Poland,8,323,0.4484691537184105,0.6831165720480864,0.4484691537184105,0.6831165720480864
United Kingdom,1,330,0.2984662465122961,0.8575774139893416,0.2984662465122961,0.8575774139893416
United Kingdom,0,331,0.2717247446016428,0.8560981523976174,0.2717247446016428,0.8560981523976174
United Kingdom,2,329,0.3103390769719202,0.8499517280521004,0.3103390769719202,0.8499517280521004
United Kingdom,3,328,0.3022957946318604,0.8350667394251636,0.3022957946318604,0.8350667394251636
United Kingdom,4,327,0.27859763221603673,0.815161906132116,0.27859763221603673,0.815161906132116
United Kingdom,5,326,0.24618591282128016,0.7945829519547317,0.24618591282128016,0.7945829519547317
United Kingdom,6,325,0.21305834223884354,0.7721722084373609,0.21305834223884354,0.7721722084373609
United Kingdom,7,324,0.1849960248439981,0.7484312348291388,0.1849960248439981,0.7484312348291388
United Kingdom,8,323,0.1641342527697595,0.7216947995517328,0.1641342527697595,0.7216947995517328
World,0,331,0.45125552557256365,0.8987062996417798,0.45125552557256365,0.8987062996417798
World,1,330,0.4584503730085842,0.8927554699160337,0.4584503730085842,0.8927554699160337
World,2,329,0.4404767143222885,0.8825335399664672,0.4404767143222885,0.8825335399664672
World,3,328,0.4127332740515551,0.8698548357972224,0.4127332740515551,0.8698548357972224
World,4,327,0.3952444575217203,0.8533187223363089,0.3952444575217203,0.8533187223363089
World,5,326,0.39218578945554855,0.8346361524646114,0.39218578945554855,0.8346361524646114
World,6,325,0.36579362919924807,0.8152123871191967,0.36579362919924807,0.8152123871191967
World,7,324,0.30956372377793795,0.795991742651913,0.30956372377793795,0.795991742651913
World,8,323,0.2644111590132469,0.7767092057756441,0.2644111590132469,0.7767092057756441
