location,pandemic_period,dataset,variable,n,missing_pct,mean,median,std,min,q25,q75,max,skew,kurtosis
England,2020-2022,ukhsa_weekly,ukhsa_covid_deaths_weekly,104,31.57894736842105,988.3942307692307,620.5,1552.5656587167537,83.0,337.5,797.5,8063.0,3.4458359142181405,11.472971229817755
England,2020-2022,ukhsa_weekly,ukhsa_hospital_admissions_weekly_sum,127,16.447368421052634,6514.881889763779,5360.0,5026.222725145062,107.0,3462.0,8646.0,25938.0,1.484026040361173,3.0888156372978974
England,2020-2022,ukhsa_weekly,ukhsa_occupied_beds_weekly_avg,127,16.447368421052634,8182.635545556806,6436.857142857143,6542.2464926028015,476.8571428571428,4473.571428571428,11133.5,33486.42857142857,1.6304566439362742,3.522026800184242
England,2020-2022,ukhsa_weekly,ukhsa_pcr_tests_weekly_sum,152,0.0,8488960.717105264,8006254.0,6840603.37892603,1333.0,2251330.0,13285935.75,26104670.0,0.5156403575218955,-0.7932562940995957
England,2020-2022,ukhsa_weekly,ukhsa_pcr_positivity_weekly_avg,152,0.0,8.13844454887218,7.178571428571429,7.170653799783767,0.1271428571428571,2.845714285714286,9.927142857142858,39.26428571428572,1.979892607411558,5.050337885552848
England,2023-2026,ukhsa_weekly,ukhsa_covid_deaths_weekly,175,1.1299435028248588,171.13714285714286,122.0,147.84845278794708,11.0,70.5,215.5,849.0,1.8639766136837774,3.877707110190784
England,2023-2026,ukhsa_weekly,ukhsa_hospital_admissions_weekly_sum,174,1.694915254237288,1933.3735632183907,1395.0,1478.9778706000989,109.0,865.0,2724.75,7120.0,1.42917480909895,1.8335044531951454
England,2023-2026,ukhsa_weekly,ukhsa_occupied_beds_weekly_avg,174,1.694915254237288,2338.9016830870282,1798.857142857143,1872.305350146922,225.75,1089.8928571428573,3048.142857142857,8962.857142857143,1.6625066453780208,2.5022817170315457
England,2023-2026,ukhsa_weekly,ukhsa_pcr_tests_weekly_sum,177,0.0,243717.02824858757,192788.0,177432.6002849529,10475.0,152571.0,253246.0,1071206.0,2.8251837627511103,7.681218850846093
England,2023-2026,ukhsa_weekly,ukhsa_pcr_positivity_weekly_avg,177,0.0,7.596392251815981,7.437142857142858,4.196421926128468,0.9,3.99,10.62142857142857,17.464285714285715,0.2643260765600646,-0.9110361701569087
