location,dataset,variable,n,missing_pct,mean,median,std,min,q25,q75,max,skew,kurtosis
Europe,covid_weekly,new_cases_per_million_7d_avg,331,0.0,147.0120532171399,22.573212706479016,292.86480038264557,0.0001090887298987,4.031251288586758,188.46241248589683,2074.2788362543847,3.838151797356799,17.682911226602876
Europe,covid_weekly,new_deaths_per_million_7d_avg,331,0.0,1.2176422813074936,0.2687946304704922,1.8609863931099957,0.0,0.0214768436988138,1.380381515956166,7.595002825192472,1.789201860034909,2.2653966289649534
Europe,covid_weekly,new_cases_per_million_calc,331,0.0,147.012049891197,22.735100381648746,293.6807227982389,0.0001909052773227,4.153239760796023,183.85008644141323,2107.7637855298976,3.8390118769346495,17.655999979696904
Europe,covid_weekly,new_deaths_per_million_calc,331,0.0,1.2176431711551396,0.3004849065060762,1.8610662973322516,0.0,0.021476843698814148,1.3295598039145917,7.701500697756116,1.7889157835660774,2.2694978776616304
Europe,covid_weekly,total_cases_per_million,331,0.0,231028.04510935376,328970.44,137390.27516384292,0.0013370679,69638.095,339089.845,340897.5,-0.7237435642490304,-1.3071202278725575
Europe,covid_weekly,total_deaths_per_million,331,0.0,2144.8866027920376,2732.555,953.1763007410458,0.0040112035,1570.179,2813.7986,2823.1548,-1.1956374021536285,-0.12239063773721703
Europe,covid_weekly,people_vaccinated_per_hundred,331,0.0,53.47353576356497,69.77785,27.481371993986528,0.0,50.105931999999996,70.091805,70.091805,-1.2812477283934012,-0.209345714727593
Europe,covid_weekly,people_fully_vaccinated_per_hundred,331,0.0,50.258179093353476,66.720085,27.008224978152935,0.0,41.230267,67.044044,67.044044,-1.187815239491153,-0.46997026456301993
Europe,covid_weekly,total_boosters_per_hundred,331,0.0,33.216476030815706,48.198498,21.686421783303096,0.0,1.5847925,49.90219,49.90219,-0.75548230858073,-1.3430768352786706
Europe,covid_weekly,stringency_index,0,100.0,,,,,,,,,
Europe,covid_weekly,reproduction_rate,0,100.0,,,,,,,,,
Europe,covid_weekly,positive_rate,0,100.0,,,,,,,,,
Europe,covid_weekly,tests_per_case,0,100.0,,,,,,,,,
Europe,covid_weekly,excess_mortality_cumulative_per_million,0,100.0,,,,,,,,,
Poland,covid_weekly,new_cases_per_million_7d_avg,331,0.0,76.94634100682862,9.119565734754373,173.18700758097816,0.0,2.2664670161055143,45.09487821699592,1238.6888210040931,3.398783892872782,13.446415237338222
Poland,covid_weekly,new_deaths_per_million_7d_avg,331,0.0,1.360336698488305,0.0893188971864242,2.985020832963376,0.0,0.0,0.4535060672620229,14.553663640364148,2.4545500000025404,5.129518766112049
Poland,covid_weekly,new_cases_per_million_calc,331,0.0,76.94634100682862,9.211011272349998,174.0139683409206,0.0,2.268327826463565,42.94378144308955,1244.4429782912878,3.4460101135632355,13.94798371653528
Poland,covid_weekly,new_deaths_per_million_calc,331,0.0,1.360336698488305,0.0893188971864242,2.9894698802730684,0.0,0.0,0.45589853772237365,14.04167496184911,2.4548736724951183,5.0772737866874
Poland,covid_weekly,total_cases_per_million,331,0.0,127878.50610863647,167568.8,65220.36174611539,0.0,75155.16500000001,175639.08,178284.67,-1.0164820619668877,-0.6256312219854809
Poland,covid_weekly,total_deaths_per_million,331,0.0,2416.6504108643053,3098.8596,1133.2044551116414,0.0,1961.43175,3147.95335,3151.9001,-1.3005405650332262,0.06412304830131887
Poland,covid_weekly,people_vaccinated_per_hundred,331,0.0,46.20136257522659,59.58133,23.418516912292464,0.0,48.14653,59.877827,59.877827,-1.3499725331534458,-0.05411475230970453
Poland,covid_weekly,people_fully_vaccinated_per_hundred,331,0.0,44.943355100287626,58.986446,23.817883865239317,0.0,46.060835,59.15184,59.15184,-1.2564595543929717,-0.32972982794239325
Poland,covid_weekly,total_boosters_per_hundred,331,0.0,26.552967977341385,39.834145,17.864923846390226,0.0,0.0,40.104836,40.104836,-0.7375948837964968,-1.3673880550051625
Poland,covid_weekly,stringency_index,157,52.567975830815705,39.69209281164696,38.4,25.1685890296787,0.0,14.81,64.39,87.04,0.21478281323453316,-1.2258758440785769
Poland,covid_weekly,reproduction_rate,148,55.2870090634441,1.0512944015444015,1.0194999999999999,0.34113109703370403,0.3766857142857143,0.83295,1.2413928571428572,2.4531,0.9750409445386676,2.3626434298273544
Poland,covid_weekly,positive_rate,119,64.04833836858006,11.342335251488596,7.360530928571428,10.424388370507032,0.2074501142857143,2.4726750857142856,19.517365214285718,43.61888028571428,0.8840448703046861,-0.039391072532037885
Poland,covid_weekly,tests_per_case,119,64.04833836858006,49.14647391712685,14.088394285714283,93.83115280716218,2.293347942857143,5.1611379,40.60054385714285,482.50453714285715,3.092468359232531,9.444290789155126
Poland,covid_weekly,excess_mortality_cumulative_per_million,209,36.85800604229607,2781.689705503349,3754.659,1714.8003196131594,-195.54051,1594.3232,4250.776,4447.032,-0.7966916380662243,-0.9759765717178555
United Kingdom,covid_weekly,new_cases_per_million_7d_avg,331,0.0,158.9969919635716,18.411233760891395,346.51029926784486,0.0,3.6510864245053125,110.65238894865183,2947.9241464891784,4.015723776946726,21.155092404479248
United Kingdom,covid_weekly,new_deaths_per_million_7d_avg,331,0.0,1.4693285806928738,0.3289644583341946,3.156695640324547,0.0,0.0,1.5503834503566525,19.9509909707832,3.7884019163178286,15.665760482959417
United Kingdom,covid_weekly,new_cases_per_million_calc,331,0.0,158.99699196357156,18.551919198031584,348.1449680966194,0.0,3.7390896553972626,110.00927690249077,2766.5114726197694,4.0576464638911425,21.490943132129953
United Kingdom,covid_weekly,new_deaths_per_million_calc,331,0.0,1.469328580692874,0.3163925682067731,3.168555403325958,0.0,0.0,1.5327229380347984,20.372747951486456,3.8184614135908084,15.978655002376986
United Kingdom,covid_weekly,total_cases_per_million,331,0.0,258789.10625597948,358051.3,146559.26147612085,0.0,89408.15,366674.175,368396.03,-0.8502609890865955,-1.110819099134739
United Kingdom,covid_weekly,total_deaths_per_million,331,0.0,2702.07787323473,3254.0076,1003.325618154275,0.0,2296.6862,3404.4343,3404.4343,-1.4359722770762513,0.8221565489358245
United Kingdom,covid_weekly,people_vaccinated_per_hundred,331,0.0,62.64365811812688,78.91978,29.69323723112517,0.0,68.86051499999999,78.91978,78.91978,-1.5170211052866904,0.46418371534126956
United Kingdom,covid_weekly,people_fully_vaccinated_per_hundred,331,0.0,57.03731442181268,74.43005,29.649390618724983,0.0,57.19605,74.43005,74.43005,-1.3080925715786087,-0.17795249036671867
United Kingdom,covid_weekly,total_boosters_per_hundred,331,0.0,41.19880854743202,59.217354,26.617250753005457,0.0,0.0,59.217354,59.217354,-0.8649032497906518,-1.2233603760347307
United Kingdom,covid_weekly,stringency_index,157,52.567975830815705,42.956360327570515,43.63,27.958206821750053,0.0,11.11,67.59,87.96,-0.056216777191819604,-1.4201854065734096
United Kingdom,covid_weekly,reproduction_rate,149,54.98489425981873,1.053366874400767,1.0369142857142857,0.2902324638926954,0.298,0.8699428571428571,1.1501,2.4719285714285713,1.8736036648336145,8.069505585157223
United Kingdom,covid_weekly,positive_rate,112,66.16314199395771,4.806013226096939,3.9274923428571427,4.708063834590433,0.2136466871428571,1.2754194,6.595148928571429,27.143143142857145,2.3052935764358393,7.686113642713773
United Kingdom,covid_weekly,tests_per_case,112,66.16314199395771,73.79029112765731,25.632272214285717,103.67501111171627,3.7069913285714287,15.420948535714286,82.08708017857143,468.6008857142857,2.2077154779098813,4.518132120500588
United Kingdom,covid_weekly,excess_mortality_cumulative_per_million,209,36.85800604229607,1908.0068405253587,1963.2439,965.5140354591653,-90.95659,1187.7388,2718.5623,3482.6978,-0.23428744388392098,-0.7033059199466463
World,covid_weekly,new_cases_per_million_7d_avg,331,0.0,41.92202722133648,6.674372193641366,77.96361756822365,0.0002505201095545,0.7195350556879275,60.18213849263739,676.9222618131772,4.188331909003505,23.607244329679297
World,covid_weekly,new_deaths_per_million_7d_avg,331,0.0,0.38311648673587007,0.0822594737520513,0.4977442822920681,2.544212351603715e-05,0.01320573421099905,0.7672708399348904,1.8313927444178475,1.1493585445864225,0.044938387542384106
World,covid_weekly,new_cases_per_million_calc,331,0.0,41.92203838807153,6.622991825200727,79.3082396019131,0.0001869996078428,0.7405095423145467,60.39724910275314,787.8240940435181,4.600749362156393,30.45492381722522
World,covid_weekly,new_deaths_per_million_calc,331,0.0,0.3831171616054908,0.0750135569746839,0.4991190106994613,1.7809486461226006e-05,0.013205734210999,0.7603404054891219,1.8471108883260552,1.1500188663756703,0.028398136045385325
World,covid_weekly,total_cases_per_million,331,0.0,65943.951839804,95268.91,38418.89287922633,0.00025133704,25151.8155,97583.735,97911.81,-0.6713813874706476,-1.2882244086358223
World,covid_weekly,total_deaths_per_million,331,0.0,681.793533896765,865.0919,299.62084378694755,0.00037700558,540.8797,888.47342,894.01715,-1.247033626704576,-0.007592794419373661
World,covid_weekly,people_vaccinated_per_hundred,331,0.0,52.17003116767372,69.71473,27.53977818707006,0.0,33.108382500000005,70.706406,70.706406,-1.1032411772839372,-0.5805457976090649
World,covid_weekly,people_fully_vaccinated_per_hundred,331,0.0,47.357088966767364,64.160484,25.48823165664468,0.0,22.262675,65.10431,65.10431,-1.013598263635732,-0.7599632900858402
World,covid_weekly,total_boosters_per_hundred,331,0.0,23.222449920845918,34.62811,15.398100699368527,0.0,2.1076304500000003,35.577507,35.577507,-0.6420501500032428,-1.4718867944750627
World,covid_weekly,stringency_index,0,100.0,,,,,,,,,
World,covid_weekly,reproduction_rate,155,53.17220543806647,1.0756758755760367,1.0272285714285714,0.3123448853388722,0.6352285714285715,0.9423142857142857,1.0912142857142857,3.377075,4.899949029375075,30.035808976713966
World,covid_weekly,positive_rate,0,100.0,,,,,,,,,
World,covid_weekly,tests_per_case,0,100.0,,,,,,,,,
World,covid_weekly,excess_mortality_cumulative_per_million,0,100.0,,,,,,,,,
