DATAFLOW,LAST UPDATE,freq,unit,s_adj,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Austria,2025-Q4,-3780.5,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2017-Q3,-5468.3,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2017-Q4,4974.8,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2018-Q1,-7793.2,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2018-Q2,5051.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2018-Q3,-4906.8,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2018-Q4,2832.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2019-Q1,-8752.6,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2019-Q2,2923.7,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2019-Q3,-5538.9,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2019-Q4,1548.6,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2020-Q1,-13485.2,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2020-Q2,-10023.7,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2020-Q3,-11421.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2020-Q4,-6968.6,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2021-Q1,-13054.4,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2021-Q2,-2953.6,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2021-Q3,-11212.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2021-Q4,-116.4,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2022-Q1,-9187.8,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2022-Q2,-425.1,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2022-Q3,-10240.0,,
