DATAFLOW,LAST UPDATE,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2023-Q3,-0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2023-Q4,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2024-Q1,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2024-Q2,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2024-Q3,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2024-Q4,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2025-Q1,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2025-Q2,0.0,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2025-Q3,-0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Switzerland,2025-Q4,0.0,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2017-Q1,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2017-Q2,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2017-Q3,0.7,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2017-Q4,0.0,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2018-Q1,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2018-Q2,0.6,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2018-Q3,-0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2018-Q4,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2019-Q1,-0.5,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2019-Q2,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2019-Q3,-0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2019-Q4,-0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2020-Q1,-1.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2020-Q2,-1.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2020-Q3,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2020-Q4,-0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2021-Q1,0.7,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2021-Q2,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2021-Q3,0.8,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2021-Q4,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2022-Q1,-0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2022-Q2,0.7,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2022-Q3,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2022-Q4,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2023-Q1,0.8,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2023-Q2,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2023-Q3,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2023-Q4,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2024-Q1,-0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2024-Q2,0.5,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2024-Q3,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2024-Q4,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2025-Q1,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2025-Q2,0.5,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2025-Q3,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2025-Q4,0.0,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Czechia,2026-Q1,0.0,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2017-Q1,-0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2017-Q2,-0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2017-Q3,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2017-Q4,0.5,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2018-Q1,2.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2018-Q2,1.6,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2018-Q3,0.8,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2018-Q4,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2019-Q1,1.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2019-Q2,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2019-Q3,-0.6,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2019-Q4,-0.7,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2020-Q1,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2020-Q2,-3.7,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2020-Q3,1.0,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2020-Q4,1.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2021-Q1,-1.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2021-Q2,4.6,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2021-Q3,3.7,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2021-Q4,0.5,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2022-Q1,-0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2022-Q2,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2022-Q3,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2022-Q4,0.6,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2023-Q1,0.7,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2023-Q2,0.7,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2023-Q3,-0.1,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2023-Q4,0.1,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2024-Q1,0.7,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2024-Q2,-0.1,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2024-Q3,-0.1,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2024-Q4,0.4,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2025-Q1,0.5,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2025-Q2,-0.1,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2025-Q3,0.1,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,Greece,2025-Q4,0.4,p,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2017-Q1,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2017-Q2,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2017-Q3,0.3,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2017-Q4,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2018-Q1,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2018-Q2,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2018-Q3,0.1,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2018-Q4,0.2,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2019-Q1,0.4,,
ESTAT:NAMQ_10_A10_E(1.0),21/05/26 23:00:00,Quarterly,Percentage change on previous period (based on persons),Total - all NACE activities,"Seasonally adjusted data, not calendar adjusted data",Total employment domestic concept,France,2019-Q2,0.4,,
